pool,startHeight,endHeight,seqLength,observed,expected,stdDev,deviations
F2Pool,391653,391554,1,7,13.228,2.7184583866596106,2.291004353998167
AntPool,391453,391354,7,1,0.007,0.08337265738837878,11.91037962691127
AntPool,391053,390954,4,2,0.32,0.5268775948927766,3.188596395604736
F2Pool,391053,390954,4,1,0.175,0.3979635661715768,2.073054093711463
F2Pool,390753,390652,4,1,0.149,0.36441597110993607,2.335243423629401
AntPool,390654,390554,4,1,0.083,0.27588222124667744,3.3238821836948795
AntPool,390451,390349,3,3,0.796,0.793967253732793,2.775933125249204
AntPool,389748,389649,4,1,0.175,0.3979635661715768,2.073054093711463
AntPool,389648,389550,3,2,0.566,0.6940057636648278,2.0662652604316913
F2Pool,389648,389550,3,2,0.271,0.4975530122509579,3.4750065971420945
F2Pool,389348,389249,4,1,0.149,0.36441597110993607,2.335243423629401
AntPool,389148,389049,3,3,1.041,0.8713891208868703,2.248134562440023
F2Pool,388348,388249,1,23,14.873,3.139883915051643,2.588312249711414
F2Pool,387848,387746,3,2,0.439,0.6068599508947711,2.5722574009018366
AntPool,387639,387533,5,1,0.084,0.28096974926137486,3.260137443294232
F2Pool,387639,387533,4,1,0.149,0.36441597110993607,2.335243423629401
AntPool,387332,387233,3,2,0.439,0.6068599508947711,2.5722574009018366
AntPool,387232,387133,1,22,15.124,3.1702719126283134,2.168899132156602
F2Pool,387232,387133,3,2,0.439,0.6068599508947711,2.5722574009018366
F2Pool,387132,387032,4,1,0.126,0.33184936341659815,2.6337251064809033
